Day #,Julian Month,Julian Day,Roman Month,Roman Number,Roman Reference,,Color,Secondary Color,Notes,Saint ID,Secondary Saint ID,Third Color Name,Third Saint ID,Fourth Color Name,Fourth Saint ID,Saint (Main hand),Rank (Main hand),Second Hand,Second Hand Rank,Third hand,Third hand rank,Additional Hand?,Additional Hand Rank?,notes,Order?,,Readings list
170,June,19,July,13,Kalends,,,,,,,,,,,Gervasii et protasii martyrum,IX lectionum,,,,,,,,,,Gervasii et protasii
171,June,20,July,12,Kalends,,,,,,,,,,,,,,,,,,,,,,
172,June,21,July,11,Kalends,,,,,,,,,,,,,,,,,,,,,,
173,June,22,July,10,Kalends,,,,,,,,,,,,,,,,,,,,,,
174,June,23,July,9,Kalends,,,,,,,,,,,Vigilia.,,,,,,,,,,,In vigilia iohanis baptiste
175,June,24,July,8,Kalends,,,,,,,,,,,Nativitas sancti iohanis baptiste.,Duplex.,,,,,,,,,,In die
176,June,25,July,7,Kalends,,,,,,,,,,,,,,,,,,,,,,
177,June,26,July,6,Kalends,,,,,,,,,,,Iohanis et pauli martyrum,IX lectio,,,,,,,,,,Iohanis et pauli
178,June,27,July,5,Kalends,,,,,,,,,,,,,,,,,,,,,,
179,June,28,July,4,Kalends,,,,,,,,,,,Leonis pape. Vigilia,Commmemoratio,,,,,,,,,,Vigilia apostolorum
180,June,29,July,3,Kalends,,,,,,,,,,,Apostolorum petri et pauli,Totum duplex.,,,,,,,,,,In die
181,June,30,July,2,Kalends,,,,,,,,,,,Commemoratio beati pauli,9 lectio,,,,,,,,,,In commemoratio pauli
182,July,1,July,0,Kalends,,,,,,,,,,,Octava sancti iohanis baptiste,IX lectio,,,,,,,,,,
183,July,2,July,6,Nones,,,,,,,,,,,Processi et martiani martyrum,Commemoratio,,,,,,,,,,
184,July,3,July,5,Nones,,blank,,,,,,,,,,,,,,,,,,,,
185,July,4,July,4,Nones,,,,,,,,,,,Translatio sancti martini confessoris,Commemoratio,,,,,,,Is this unusual?,,,
186,July,5,July,3,Nones,,blank,,,,,,,,,,,,,,,,,,,,
187,July,6,July,2,Nones,,,,,,,,,,,Octave apostolorum,IX lectio,,,,,,,,,,In octava apostolorum
